video_name,environment,understand,comment,rating,source
0_LunarLander-v3_178757-episode-0.mp4,LunarLander-v3,5,,5,text_image
0_highway-fast-v0_49861-episode-0.mp4,highway-fast-v0,5,,5,image
0_Hopper-v5_749072-episode-0.mp4,Hopper-v5,5,,4,image
0_highway-fast-v0_311567-episode-0.mp4,highway-fast-v0,5,,5,text_image
0_Hopper-v5_627340-episode-0.mp4,Hopper-v5,5,,5,image
0_Hopper-v5_617705-episode-0.mp4,Hopper-v5,5,,2,text_image
0_LunarLander-v3_239673-episode-0.mp4,LunarLander-v3,5,,2,text
0_LunarLander-v3_631760-episode-0.mp4,LunarLander-v3,5,,5,text_image
0_Swimmer-v5_354392-episode-0.mp4,Swimmer-v5,5,,5,text
0_highway-fast-v0_963278-episode-0.mp4,highway-fast-v0,5,,5,text
0_highway-fast-v0_960058-episode-0.mp4,highway-fast-v0,5,,1,image
0_Swimmer-v5_156005-episode-0.mp4,Swimmer-v5,5,,2,image
0_Swimmer-v5_829344-episode-0.mp4,Swimmer-v5,5,,1,text_image
