video_name,environment,understand,comment,rating,source
0_Hopper-v5_991558-episode-0.mp4,Hopper-v5,4,,4,text_image
0_Swimmer-v5_297297-episode-0.mp4,Swimmer-v5,5,,1,text
0_LunarLander-v3_143855-episode-0.mp4,LunarLander-v3,5,,2,text_image
0_highway-fast-v0_310042-episode-0.mp4,highway-fast-v0,5,,1,text
0_highway-fast-v0_777634-episode-0.mp4,highway-fast-v0,5,,5,image
0_Hopper-v5_365228-episode-0.mp4,Hopper-v5,5,,5,text
0_highway-fast-v0_825254-episode-0.mp4,highway-fast-v0,5,,1,text
0_LunarLander-v3_319551-episode-0.mp4,LunarLander-v3,5,,4,image
0_LunarLander-v3_187191-episode-0.mp4,LunarLander-v3,5,,3,text
0_highway-fast-v0_964790-episode-0.mp4,highway-fast-v0,5,,1,image
0_Swimmer-v5_251676-episode-0.mp4,Swimmer-v5,5,,1,image
0_Swimmer-v5_190647-episode-0.mp4,Swimmer-v5,5,,1,text
0_Hopper-v5_869216-episode-0.mp4,Hopper-v5,5,,2,text
0_highway-fast-v0_43229-episode-0.mp4,highway-fast-v0,5,,1,text_image
0_LunarLander-v3_570404-episode-0.mp4,LunarLander-v3,5,,1,text_image
0_Hopper-v5_375905-episode-0.mp4,Hopper-v5,3,,2,text_image
0_Hopper-v5_22376-episode-0.mp4,Hopper-v5,3,,2,image
0_LunarLander-v3_600632-episode-0.mp4,LunarLander-v3,3,,1,text_image
