video_name,environment,understand,comment,rating,source
0_highway-fast-v0_66312-episode-0.mp4,highway-fast-v0,5,It's going on the left instead,1,text_image
0_Hopper-v5_510368-episode-0.mp4,Hopper-v5,5,,5,text_image
0_LunarLander-v3_359613-episode-0.mp4,LunarLander-v3,5,It does not crash but goes about the top red line,2,text_image
0_highway-fast-v0_960058-episode-0.mp4,highway-fast-v0,5,It does not do anything and stay on the left,1,image
0_Hopper-v5_779442-episode-0.mp4,Hopper-v5,5,"The video is too short, the hopper does not move",1,image
0_Swimmer-v5_190647-episode-0.mp4,Swimmer-v5,5,"It does move, but not forward, and then stop moving.",2,text
0_Swimmer-v5_49740-episode-0.mp4,Swimmer-v5,5,It stops moving in a U shape,1,image
0_Hopper-v5_192344-episode-0.mp4,Hopper-v5,5,"0 sec videos, it does not do anything",1,text
0_highway-fast-v0_792219-episode-0.mp4,highway-fast-v0,5,It's going on the left as intended.,5,text
0_LunarLander-v3_399215-episode-0.mp4,LunarLander-v3,5,It crashes,1,image
0_LunarLander-v3_633998-episode-0.mp4,LunarLander-v3,5,Good,5,text
0_Swimmer-v5_140716-episode-0.mp4,Swimmer-v5,5,Not perfect but good,4,text_image
0_Hopper-v5_869216-episode-0.mp4,Hopper-v5,5,It does move forward as instructed but seems to fall afterward,3,text
0_highway-fast-v0_963278-episode-0.mp4,highway-fast-v0,5,,5,text
0_highway-fast-v0_368543-episode-0.mp4,highway-fast-v0,5,,5,text_image
0_LunarLander-v3_307547-episode-0.mp4,LunarLander-v3,5,It's stationary but goes above the top red line,3,image
0_Swimmer-v5_469177-episode-0.mp4,Swimmer-v5,5,It does not move,1,text
0_Swimmer-v5_352566-episode-0.mp4,Swimmer-v5,5,It does move like instructed but does not really go forward,4,text_image
0_LunarLander-v3_15289-episode-0.mp4,LunarLander-v3,5,,5,text
0_highway-fast-v0_217796-episode-0.mp4,highway-fast-v0,5,It goes on the left line,1,image
0_Hopper-v5_617705-episode-0.mp4,Hopper-v5,5,It falls,1,text_image
0_Hopper-v5_854008-episode-0.mp4,Hopper-v5,5,Video short,1,image
0_LunarLander-v3_178757-episode-0.mp4,LunarLander-v3,5,It goes above the screen.,2,text_image
0_Swimmer-v5_534657-episode-0.mp4,Swimmer-v5,5,Stays stuck in U shape,1,image
0_highway-fast-v0_439136-episode-0.mp4,highway-fast-v0,5,,5,text
0_Hopper-v5_869216-episode-0.mp4,Hopper-v5,5,It follows the instructions for a short while but falls.,4,text
0_LunarLander-v3_319551-episode-0.mp4,LunarLander-v3,5,It does not crash but is not stationary.,3,image
